SG_PARTIDO,SG_UF,NM_URNA_CANDIDATO,NM_CANDIDATO,ELEITO_ANTERIOR,DS_GENERO,DS_COR_RACA,receita_total,QT_VOTOS_NOMINAIS,POSICAO,QT_VAGAS,ELEITO_REAL,ELEITO_DISTRITAO,DS_SIT_TOT_TURNO
MDB,MG,MAURO LOPES,MAURO RIBEIRO LOPES,REELEITO,MASCULINO,BRANCA,1595296.69,58243,52,53,1,1,ELEITO POR MÉDIA
PSB,RJ,ALESSANDRO MOLON,ALESSANDRO LUCCIOLA MOLON,REELEITO,MASCULINO,BRANCA,1444606.01,227914,3,46,1,1,ELEITO POR QP
Podemos,MA,ALUISIO MENDES,ALUISIO GUIMARÃES MENDES FILHO,REELEITO,MASCULINO,BRANCA,874910.72,105778,8,18,1,1,ELEITO POR QP
DEM,BA,PAULO AZI,PAULO VELLOSO DANTAS AZI,REELEITO,MASCULINO,BRANCA,858625.0,84090,30,39,1,1,ELEITO POR QP
PSDB,MG,MARCUS PESTANA,MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,REELEITO,MASCULINO,BRANCA,2165507.7300000004,72099,35,53,0,1,SUPLENTE
PDT,CE,ROBÉRIO MONTEIRO,MARCOS ROBERIO RIBEIRO MONTEIRO,1a ELEIÇÃO,MASCULINO,PARDA,181830.0,131275,8,22,1,1,ELEITO POR QP
Patriota,MG,DOUTOR FREDERICO,FREDERICO DE CASTRO ESCALEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,350335.55,60950,47,53,1,1,ELEITO POR MÉDIA
PL,PI,CAPITÃO FÁBIO ABREU,FÁBIO ABREU COSTA,REELEITO,MASCULINO,PARDA,1492954.78,132719,2,10,1,1,ELEITO POR QP
DEM,RJ,RODRIGO MAIA,RODRIGO FELINTO IBARRA EPITÁCIO MAIA,REELEITO,MASCULINO,BRANCA,1829816.95,74232,13,46,1,1,ELEITO POR QP
DEM,SP,KIM KATAGUIRI,KIM PATROCA KATAGUIRI,1a ELEIÇÃO,MASCULINO,AMARELA,305495.99,465310,4,70,1,1,ELEITO POR QP
Progressistas,GO,PROFESSOR ALCIDES,ALCIDES RIBEIRO FILHO,1a ELEIÇÃO,MASCULINO,BRANCA,2470940.0,88545,9,17,1,1,ELEITO POR QP
PDT,BA,ALEX SANTANA,ALEX MARCO SANTANA SOUSA,1a ELEIÇÃO,MASCULINO,BRANCA,77750.0,62922,43,39,1,0,ELEITO POR MÉDIA
PSD,PR,NEY LEPREVOST,NEY LEPREVOST NETO,1a ELEIÇÃO,MASCULINO,BRANCA,2261169.63,92399,16,30,1,1,ELEITO POR QP
Cidadania,SP,ARNALDO JARDIM,ARNALDO CALIL PEREIRA JARDIM,REELEITO,MASCULINO,BRANCA,2297998.1,132363,23,70,1,1,ELEITO POR QP
PSL,SC,CAROLINE DE TONI,CAROLINE RODRIGUES DE TONI,1a ELEIÇÃO,FEMININO,BRANCA,82637.1,109363,4,16,1,1,ELEITO POR QP
PT,BA,ZÉ NETO,JOSÉ CERQUEIRA DE SANTANA NETO,1a ELEIÇÃO,MASCULINO,BRANCA,982312.27,129196,7,39,1,1,ELEITO POR QP
PDT,CE,MAURO FILHO,CARLOS MAURO BENEVIDES FILHO,1a ELEIÇÃO,MASCULINO,PARDA,698236.7,157510,5,22,1,1,ELEITO POR QP
MDB,SE,FABIO REIS,FABIO DE ALMEIDA REIS,REELEITO,MASCULINO,BRANCA,1505965.96,64879,3,8,1,1,ELEITO POR QP
PSDB,RR,SHÉRIDAN,SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,REELEITO,FEMININO,BRANCA,2342527.5,12129,5,8,1,1,ELEITO POR QP
DC,RJ,LUIZ ANTÔNIO,LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,1a ELEIÇÃO,MASCULINO,BRANCA,239156.22,50284,30,46,1,1,ELEITO POR QP
Republicanos,BA,MARCIO MARINHO,MARCIO CARLOS MARINHO,REELEITO,MASCULINO,PRETA,1659271.21,95204,25,39,1,1,ELEITO POR QP
Podemos,PR,DIEGO GARCIA,DIEGO ALEXSANDER GONÇALO PAULA GARCIA,REELEITO,MASCULINO,BRANCA,508200.0,103154,12,30,1,1,ELEITO POR QP
PSB,MG,VILSON DA FETAEMG,VILSON LUIZ DA SILVA,1a ELEIÇÃO,MASCULINO,BRANCA,552396.1100000001,70481,37,53,1,1,ELEITO POR QP
PSL,ES,DRA. SORAYA MANATO,SORAYA DE SOUZA MANNATO,1a ELEIÇÃO,FEMININO,BRANCA,295643.25,57741,6,10,1,1,ELEITO POR QP
PDT,PE,WOLNEY QUEIROZ,WOLNEY QUEIROZ MACIEL,REELEITO,MASCULINO,BRANCA,753210.98,82592,15,25,1,1,ELEITO POR QP
PSDB,AP,LUIZ CARLOS,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,851808.45,14069,6,8,1,1,ELEITO POR QP
PSD,BA,OTTO ALENCAR FILHO,OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,1a ELEIÇÃO,MASCULINO,BRANCA,991037.52,185428,2,39,1,1,ELEITO POR QP
Republicanos,SP,MILTON VIEIRA,MILTON VIEIRA PINTO,1a ELEIÇÃO,MASCULINO,BRANCA,1319885.86,77413,60,70,1,1,ELEITO POR QP
PSB,PE,DANILO CABRAL,DANILO JORGE DE BARROS CABRAL,REELEITO,MASCULINO,BRANCA,1356223.91,91635,13,25,1,1,ELEITO POR QP
PSB,PE,FELIPE CARRERAS,FELIPE AUGUSTO LYRA CARRERAS,REELEITO,MASCULINO,BRANCA,1734819.3199999996,114268,8,25,1,1,ELEITO POR QP
PT,RS,MARIA DO ROSÁRIO,MARIA DO ROSÁRIO NUNES,REELEITO,FEMININO,BRANCA,1024155.65,97303,18,31,1,1,ELEITO POR MÉDIA
PSB,BA,LÍDICE DA MATA,LÍDICE DA MATA E SOUZA,1a ELEIÇÃO,FEMININO,PARDA,1753913.52,104348,18,39,1,1,ELEITO POR QP
Progressistas,ES,EVAIR DE MELO,EVAIR VIEIRA DE MELO,REELEITO,MASCULINO,BRANCA,1145012.38,48412,12,10,1,0,ELEITO POR MÉDIA
PT,SC,ANA PAULA LIMA,ANA PAULA DE SOUZA LIMA,1a ELEIÇÃO,FEMININO,BRANCA,1065270.56,76304,12,16,0,1,SUPLENTE
PSB,CE,DENIS BEZERRA,DENIS ANDERSON DA ROCHA BEZERRA,1a ELEIÇÃO,MASCULINO,BRANCA,622320.0,106294,13,22,1,1,ELEITO POR QP
MDB,MG,NEWTON CARDOSO JR,NEWTON CARDOSO JÚNIOR,REELEITO,MASCULINO,BRANCA,2078878.19,69900,38,53,1,1,ELEITO POR QP
PROS,CE,CAPITÃO WAGNER,WAGNER SOUSA GOMES,1a ELEIÇÃO,MASCULINO,BRANCA,332745.6,303593,1,22,1,1,ELEITO POR QP
Cidadania,DF,PAULA BELMONTE,PAULA MORENO PARO BELMONTE,1a ELEIÇÃO,FEMININO,BRANCA,2500000.0,46069,7,8,1,1,ELEITO POR MÉDIA
Solidariedade,PE,KAIO MANIÇOBA,KAIO CÉSAR DE MOURA MANIÇOBA NOVAES FERRAZ,REELEITO,MASCULINO,BRANCA,900125.9,61287,24,25,0,1,SUPLENTE
PSDB,BA,ADOLFO VIANA ,ADOLFO VIANA DE CASTRO NETO,1a ELEIÇÃO,MASCULINO,BRANCA,1204707.62,102603,21,39,1,1,ELEITO POR QP
DEM,RJ,MARCOS SOARES,MARCOS BEZERRA RIBEIRO SOARES,REELEITO,MASCULINO,BRANCA,1214985.0,44262,37,46,0,1,SUPLENTE
PSDB,SP,VANDERLEI MACRIS,VANDERLEI MACRIS,REELEITO,MASCULINO,BRANCA,2217566.0,102708,39,70,1,1,ELEITO POR QP
PTB,PB,WILSON SANTIAGO,JOSÉ WILSON SANTIAGO,1a ELEIÇÃO,MASCULINO,PARDA,1873365.19,86208,7,12,1,1,ELEITO POR MÉDIA
PT,TO,CELIO MOURA,CELIO ALVES DE MOURA,1a ELEIÇÃO,MASCULINO,BRANCA,459045.34,18167,11,8,1,0,ELEITO POR MÉDIA
PSL,GO,MAJOR VITOR HUGO,VITOR HUGO DE ARAUJO ALMEIDA,1a ELEIÇÃO,MASCULINO,PARDA,132938.29,31190,28,17,1,0,ELEITO POR QP
MDB,AC,FLAVIANO MELO,FLAVIANO FLAVIO BAPTISTA DE MELO,REELEITO,MASCULINO,BRANCA,1694200.0,18723,6,8,1,1,ELEITO POR MÉDIA
PSDB,GO,FÁBIO SOUSA,FÁBIO FERNANDES DE SOUSA,REELEITO,MASCULINO,BRANCA,1364978.2000000002,67130,16,17,0,1,SUPLENTE
PSL,RJ,MAJOR FABIANA,FABIANA SILVA DE SOUZA,1a ELEIÇÃO,FEMININO,BRANCA,95567.21,57611,22,46,1,1,ELEITO POR QP
Republicanos,PE,SILVIO COSTA FILHO,SILVIO SERAFIM COSTA FILHO,1a ELEIÇÃO,MASCULINO,BRANCA,1177926.94,109185,10,25,1,1,ELEITO POR QP
PSL,SP,ALEXANDRE FROTA,ALEXANDRE FROTA DE ANDRADE,1a ELEIÇÃO,MASCULINO,BRANCA,24758.29,155522,16,70,1,1,ELEITO POR QP
PSL,SP,JUNIOR BOZZELLA,NICOLINO BOZZELLA JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,392500.0,78712,58,70,1,1,ELEITO POR QP
PSD,PI,JÚLIO CESAR,JULIO CESAR DE CARVALHO LIMA,REELEITO,MASCULINO,BRANCA,936780.5,110804,5,10,1,1,ELEITO POR QP
Progressistas,AP,ANDRE ABDON,ANDRE DOS SANTOS ABDON,REELEITO,MASCULINO,PARDA,1677925.45,12856,8,8,1,1,ELEITO POR MÉDIA
DEM,RJ,SÓSTENES,SÓSTENES SILVA CAVALCANTE,REELEITO,MASCULINO,BRANCA,1234317.25,94203,12,46,1,1,ELEITO POR QP
PT,MS,VANDER LOUBET,VANDER LUIZ DOS SANTOS LOUBET,REELEITO,MASCULINO,BRANCA,888711.13,55970,7,8,1,1,ELEITO POR MÉDIA
Avante,AP,LEDA SADALA,LEDA MARIA SADALA BRITO,1a ELEIÇÃO,FEMININO,PARDA,225408.45,11301,9,8,1,0,ELEITO POR QP
PSL,GO,DELEGADO WALDIR,WALDIR SOARES DE OLIVEIRA,REELEITO,MASCULINO,PARDA,495539.25000000006,274406,1,17,1,1,ELEITO POR QP
PSC,SP,GILBERTO NASCIMENTO,GILBERTO NASCIMENTO SILVA,REELEITO,MASCULINO,BRANCA,1291060.71,91797,48,70,1,1,ELEITO POR MÉDIA
PSD,GO,FRANCISCO JR,FRANCISCO RODRIGUES VALE JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,1258573.98,111788,4,17,1,1,ELEITO POR QP
MDB,RO,LUCIO MOSQUINI,LUCIO ANTONIO MOSQUINI,REELEITO,MASCULINO,PARDA,1864088.5,38630,4,8,1,1,ELEITO POR MÉDIA
PSOL,PA,EDMILSON RODRIGUES,EDMILSON BRITO RODRIGUES,REELEITO,MASCULINO,BRANCA,740751.79,184042,1,17,1,1,ELEITO POR QP
PSDB,GO,JEAN CARLO,JEAN CARLO DOS SANTOS,1a ELEIÇÃO,MASCULINO,BRANCA,2070647.72,67729,15,17,0,1,SUPLENTE
Progressistas,MT,NERI GELLER,NERI GELLER,1a ELEIÇÃO,MASCULINO,BRANCA,2441815.41,73072,4,8,1,1,ELEITO POR MÉDIA
PDT,MG,SUBTENENTE GONZAGA,LUIZ GONZAGA RIBEIRO,REELEITO,MASCULINO,BRANCA,541045.51,93932,26,53,1,1,ELEITO POR QP
PT,DF,ERIKA KOKAY,ERIKA JUCA KOKAY,REELEITO,FEMININO,BRANCA,1094402.13,89986,2,8,1,1,ELEITO POR MÉDIA
PDT,ES,SERGIO VIDIGAL,ANTONIO SERGIO ALVES VIDIGAL,REELEITO,MASCULINO,PARDA,903588.57,73030,5,10,1,1,ELEITO POR QP
PSL,SC,CORONEL ARMANDO,LUIZ ARMANDO SCHROEDER REIS,1a ELEIÇÃO,MASCULINO,BRANCA,53428.0,60069,19,16,1,0,ELEITO POR MÉDIA
PSB,AP,CAMILO CAPIBERIBE,CARLOS CAMILO GOES CAPIBERIBE,1a ELEIÇÃO,MASCULINO,PARDA,507211.0,24987,1,8,1,1,ELEITO POR MÉDIA
PROS,PR,TONINHO WANDSCHEER,ANTONIO WANDSCHEER,REELEITO,MASCULINO,BRANCA,1952753.39,72475,26,30,1,1,ELEITO POR MÉDIA
PSDB,SC,MARCO TEBALDI,MARCO ANTONIO TEBALDI,REELEITO,MASCULINO,BRANCA,1136376.46,71528,13,16,0,1,SUPLENTE
Republicanos,CE,RONALDO MARTINS,RONALDO MANCHADO MARTINS,REELEITO,MASCULINO,BRANCA,1141661.17,101089,17,22,0,1,SUPLENTE
Republicanos,SP,MARCOS PEREIRA,MARCOS ANTONIO PEREIRA,1a ELEIÇÃO,MASCULINO,BRANCA,2496213.479999999,139165,18,70,1,1,ELEITO POR QP
DEM,AC,ALAN RICK,ALAN RICK MIRANDA,REELEITO,MASCULINO,BRANCA,932786.4,22263,3,8,1,1,ELEITO POR QP
PSD,PA,JÚNIOR FERRARI,JOÃO FERRARI JUNIOR,1a ELEIÇÃO,MASCULINO,PARDA,489888.75,146678,7,17,1,1,ELEITO POR QP
PDT,CE,ANDRÉ FIGUEIREDO,ANDRE PEIXOTO FIGUEIREDO LIMA,REELEITO,MASCULINO,BRANCA,822615.0,103385,14,22,1,1,ELEITO POR QP
PSD,CE,DOMINGOS NETO,DOMINGOS GOMES DE AGUIAR NETO,REELEITO,MASCULINO,BRANCA,1073020.0,111154,12,22,1,1,ELEITO POR QP
PSD,PE,ANDRE DE PAULA,ANDRE CARLOS ALVES DE PAULA FILHO,REELEITO,MASCULINO,BRANCA,1296683.14,118641,6,25,1,1,ELEITO POR QP
MDB,RS,GIOVANI FELTES,GIOVANI BATISTA FELTES,REELEITO,MASCULINO,BRANCA,1861703.47,93088,20,31,1,1,ELEITO POR QP
MDB,RS,MÁRCIO BIOLCHI,MARCIO DELLA VALLE BIOLCHI,REELEITO,MASCULINO,BRANCA,1616478.47,100362,15,31,1,1,ELEITO POR QP
PT,MG,PATRUS ANANIAS,PATRUS ANANIAS DE SOUZA,REELEITO,MASCULINO,BRANCA,1103220.03,112724,16,53,1,1,ELEITO POR QP
Solidariedade,TO,ELI BORGES,ELI DIAS BORGES,1a ELEIÇÃO,MASCULINO,PARDA,1115272.05,48812,4,8,1,1,ELEITO POR QP
PSL,MG,LÉO MOTTA,ELIEL MÁRCIO DO CARMO,1a ELEIÇÃO,MASCULINO,PRETA,254675.0,51073,62,53,1,0,ELEITO POR QP
NOVO,MG,TIAGO MITRAUD,TIAGO LIMA MITRAUD DE CASTRO LEITE,1a ELEIÇÃO,MASCULINO,BRANCA,814831.85,71901,36,53,1,1,ELEITO POR QP
NOVO,SP,ADRIANA VENTURA,ADRIANA MIGUEL VENTURA,1a ELEIÇÃO,FEMININO,BRANCA,395097.72,64341,75,70,1,0,ELEITO POR QP
PHS,MG,MARCELO ARO,MARCELO GUILHERME DE ARO FERREIRA,REELEITO,MASCULINO,BRANCA,1876696.94,107219,18,53,1,1,ELEITO POR QP
PSC,MG,EUCLYDES PETTERSEN ,EUCLYDES MARCOS PETTERSEN NETO,1a ELEIÇÃO,MASCULINO,BRANCA,1622782.92,65316,42,53,1,1,ELEITO POR QP
PL,RS,GIOVANI CHERINI,GIOVANI CHERINI,REELEITO,MASCULINO,BRANCA,2314456.97,151719,3,31,1,1,ELEITO POR QP
PSL,BA,PROF. DAYANE PIMENTEL,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,1a ELEIÇÃO,FEMININO,BRANCA,484950.0,136742,4,39,1,1,ELEITO POR QP
PSL,RJ,SARGENTO GURGEL,JOÃO CARLOS SOARES GURGEL,1a ELEIÇÃO,MASCULINO,PARDA,50480.55,62089,19,46,1,1,ELEITO POR QP
PSD,RJ,FLORDELIS,FLORDELIS DOS SANTOS DE SOUZA,1a ELEIÇÃO,FEMININO,BRANCA,1101538.05,196959,5,46,1,1,ELEITO POR QP
DEM,MG,BILAC PINTO,OLAVO BILAC PINTO NETO,REELEITO,MASCULINO,BRANCA,1493433.0000000002,87683,30,53,1,1,ELEITO POR QP
PTC,RN,BENES LEOCADIO,LUIZ BENES LEOCADIO DE ARAUJO,1a ELEIÇÃO,MASCULINO,BRANCA,1110005.7,125841,1,8,1,1,ELEITO POR QP
Solidariedade,SE,GUSTINHO RIBEIRO,LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,1a ELEIÇÃO,MASCULINO,BRANCA,849900.0,64132,4,8,1,1,ELEITO POR QP
Solidariedade,AC,DRA. VANDA MILANI,VANDA DENIR MILANI NOGUEIRA,1a ELEIÇÃO,FEMININO,BRANCA,1450000.0,22219,4,8,1,1,ELEITO POR QP
Progressistas,RJ,CHRISTINO AUREO,CHRISTINO ÁUREO DA SILVA,1a ELEIÇÃO,MASCULINO,BRANCA,1646503.53,47101,32,46,1,1,ELEITO POR MÉDIA
PSB,PA,CÁSSIO ANDRADE,CÁSSIO COELHO ANDRADE,1a ELEIÇÃO,MASCULINO,PARDA,562612.8,130768,12,17,1,1,ELEITO POR QP
PSDB,SP,CARLOS SAMPAIO,CARLOS HENRIQUE FOCESI SAMPAIO,REELEITO,MASCULINO,BRANCA,1818666.48,125666,26,70,1,1,ELEITO POR QP
PROS,MG,EROS BIONDINI,EROS FERREIRA BIONDINI,REELEITO,MASCULINO,BRANCA,1135562.6,157394,8,53,1,1,ELEITO POR QP
Republicanos,BA,JOÃO ROMA,JOÃO INÁCIO RIBEIRO ROMA NETO,1a ELEIÇÃO,MASCULINO,BRANCA,1041069.0,84455,29,39,1,1,ELEITO POR QP
PMN,MG,ZÉ VITOR,JOSE VITOR DE RESENDE AGUIAR,1a ELEIÇÃO,MASCULINO,BRANCA,232041.66,32833,83,53,1,0,ELEITO POR QP
MDB,RN,WALTER ALVES,WALTER PEREIRA ALVES,REELEITO,MASCULINO,BRANCA,1611327.83,79333,7,8,1,1,ELEITO POR QP
Patriota,MA,JUNIOR MARRECA FILHO,ANTONIO DA CRUZ FILGUEIRA NETO,1a ELEIÇÃO,MASCULINO,BRANCA,80200.0,79674,13,18,1,1,ELEITO POR QP
PSD,RJ,HUGO LEAL,HUGO LEAL MELO DA SILVA,REELEITO,MASCULINO,BRANCA,1917659.74,63561,18,46,1,1,ELEITO POR QP
PSD,BA,PAULO MAGALHÃES ,PAULO SERGIO PARANHOS DE MAGALHÃES,REELEITO,MASCULINO,BRANCA,975310.0,69164,35,39,0,1,SUPLENTE
Podemos,RO,LÉO MORAES,LEONARDO BARRETO DE MORAES,1a ELEIÇÃO,MASCULINO,BRANCA,974820.96,69565,1,8,1,1,ELEITO POR QP
DEM,MG,ÁLVARO DAMIÃO DA ITATIAIA,ÁLVARO DAMIÃO VIEIRA DA PAZ,1a ELEIÇÃO,MASCULINO,BRANCA,933991.13,59351,49,53,0,1,SUPLENTE
MDB,TO,DULCE MIRANDA,DULCE FERREIRA PAGANI MIRANDA,REELEITO,FEMININO,BRANCA,2468800.0,40719,7,8,1,1,ELEITO POR MÉDIA
Solidariedade,TO,TIAGO DIMAS,TIAGO BRAGA PEREIRA,1a ELEIÇÃO,MASCULINO,BRANCA,1947721.04,71842,1,8,1,1,ELEITO POR QP
PHS,MG,FRANCO CARTAFINA,FRANCO CARTAFINA GOMES,1a ELEIÇÃO,MASCULINO,BRANCA,304679.48,53390,57,53,1,0,ELEITO POR QP
PDT,PI,FLAVIO NOGUEIRA,FLAVIO RODRIGUES NOGUEIRA,1a ELEIÇÃO,MASCULINO,PARDA,731120.2,111672,4,10,1,1,ELEITO POR QP
PSD,MG,DIEGO ANDRADE,DIEGO LEONARDO DE ANDRADE CARVALHO,REELEITO,MASCULINO,BRANCA,1562760.96,105803,21,53,1,1,ELEITO POR QP
MDB,ES,LELO COIMBRA,WELINGTON COIMBRA,REELEITO,MASCULINO,BRANCA,2389868.8,52765,10,10,0,1,NÃO ELEITO
PL,DF,FLAVIA ARRUDA,FLAVIA CAROLINA PERES,1a ELEIÇÃO,FEMININO,PARDA,2404000.0,121340,1,8,1,1,ELEITO POR QP
PTC,PI,DRA. MARINA,MARINA SANTOS BATISTA DIAS,1a ELEIÇÃO,FEMININO,BRANCA,603046.1599999998,70828,10,10,1,1,ELEITO POR MÉDIA
PSB,CE,ODORICO,LUIZ ODORICO MONTEIRO DE ANDRADE,REELEITO,MASCULINO,BRANCA,1474335.0,77308,21,22,0,1,SUPLENTE
PT,RJ,BENEDITA DA SILVA ,BENEDITA SOUZA DA SILVA SAMPAIO ,REELEITO,FEMININO,PRETA,1049233.54,44804,36,46,1,1,ELEITO POR QP
PSDB,MG,PAULO ABI ACKEL,PAULO ABI-ACKEL,REELEITO,MASCULINO,BRANCA,2047458.69,79797,33,53,1,1,ELEITO POR QP
Solidariedade,RJ,AUREO,AUREO LIDIO MOREIRA RIBEIRO,REELEITO,MASCULINO,BRANCA,1932932.48,68414,15,46,1,1,ELEITO POR QP
Republicanos,RJ,JORGE BRAZ ,JORGE BRAZ DE OLIVEIRA ,1a ELEIÇÃO,MASCULINO,PARDA,444910.0,58113,20,46,0,1,SUPLENTE
PSL,RS,SANDERSON FEDERAL,UBIRATAN ANTUNES SANDERSON,1a ELEIÇÃO,MASCULINO,BRANCA,95929.75,88559,23,31,1,1,ELEITO POR QP
MDB,SC,CELSO MALDANER,CELSO MALDANER,REELEITO,MASCULINO,BRANCA,1747019.89,80086,10,16,1,1,ELEITO POR QP
PSL,RJ,CHRIS TONIETTO,CHRISTINE NOGUEIRA DOS REIS TONIETTO,1a ELEIÇÃO,FEMININO,PARDA,78396.34,38525,47,46,1,0,ELEITO POR QP
PT,BA,AFONSO FLORENCE,AFONSO BANDEIRA FLORENCE,REELEITO,MASCULINO,PARDA,1077143.55,130548,6,39,1,1,ELEITO POR QP
PDT,MS,DAGOBERTO,DAGOBERTO NOGUEIRA FILHO,REELEITO,MASCULINO,BRANCA,1840819.0,40233,9,8,1,0,ELEITO POR MÉDIA
Progressistas,RN,BETO,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,REELEITO,MASCULINO,BRANCA,1335286.0,71092,8,8,1,1,ELEITO POR MÉDIA
MDB,SC,CARLOS CHIODINI,CARLOS ALBERTO CHIODINI,1a ELEIÇÃO,MASCULINO,BRANCA,1001000.0,97613,6,16,1,1,ELEITO POR QP
Progressistas,MG,DIMAS FABIANO,DIMAS FABIANO TOLEDO JUNIOR,REELEITO,MASCULINO,BRANCA,2367961.4,74223,34,53,1,1,ELEITO POR MÉDIA
NOVO,SP,VINICIUS POIT,VINICIUS LAZZER POIT,1a ELEIÇÃO,MASCULINO,BRANCA,1283047.97,207118,12,70,1,1,ELEITO POR QP
PT,SP,RUI FALCÃO,RUI GOETHE DA COSTA FALCÃO,1a ELEIÇÃO,MASCULINO,BRANCA,1066491.93,158389,15,70,1,1,ELEITO POR QP
PL,CE,DR.JAZIEL,JAZIEL PEREIRA DE SOUSA,1a ELEIÇÃO,MASCULINO,BRANCA,1700000.0,65300,25,22,1,0,ELEITO POR MÉDIA
PDT,RO,SILVIA CRISTINA,SILVIA CRISTINA AMANCIO CHAGAS,1a ELEIÇÃO,FEMININO,PRETA,310017.89,33038,6,8,1,1,ELEITO POR QP
PSD,SE,FÁBIO MITIDIERI,FÁBIO CRUZ MITIDIERI,REELEITO,MASCULINO,PARDA,764546.96,102899,1,8,1,1,ELEITO POR QP
PSL,MG,ALÊ SILVA,ALESSANDRA DA SILVA,1a ELEIÇÃO,FEMININO,BRANCA,83700.0,48043,64,53,1,0,ELEITO POR MÉDIA
PSDB,PA,NILSON PINTO,NILSON PINTO DE OLIVEIRA,REELEITO,MASCULINO,PARDA,1071285.2,148972,6,17,1,1,ELEITO POR QP
PSL,SP,EDUARDO BOLSONARO,EDUARDO NANTES BOLSONARO,REELEITO,MASCULINO,BRANCA,218330.58,1843735,1,70,1,1,ELEITO POR QP
Progressistas,SP,FAUSTO PINATO,FAUSTO RUY PINATO,REELEITO,MASCULINO,BRANCA,1929824.92,118684,32,70,1,1,ELEITO POR QP
PT,CE,JOSE AIRTON,JOSE AIRTON FELIX CIRILO DA SILVA,REELEITO,MASCULINO,PRETA,1028425.87,74099,22,22,1,1,ELEITO POR QP
Cidadania,PA,JORDY,ARNALDO JORDY FIGUEIREDO,REELEITO,MASCULINO,PARDA,1178129.8100000005,82672,17,17,0,1,SUPLENTE
PSDB,MS,ROSE MODESTO,ROSIANE MODESTO DE OLIVEIRA,1a ELEIÇÃO,FEMININO,PARDA,778745.0,120901,1,8,1,1,ELEITO POR QP
PSDB,AL,TEREZA NELMA,TEREZA NELMA DA SILVA PORTO VIANA SOARES,1a ELEIÇÃO,FEMININO,BRANCA,824703.0,44207,12,9,1,0,ELEITO POR MÉDIA
Patriota,CE,JÚNIOR MANO,ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,1a ELEIÇÃO,MASCULINO,PARDA,555464.0,67917,23,22,1,0,ELEITO POR QP
DEM,PA,HÉLIO LEITE,HÉLIO LEITE DA SILVA,REELEITO,MASCULINO,PARDA,1052810.0,102554,14,17,1,1,ELEITO POR MÉDIA
PT,CE,GUIMARAES,JOSE NOBRE GUIMARAES,REELEITO,MASCULINO,BRANCA,1183262.8,173039,4,22,1,1,ELEITO POR QP
PL,AL,SÉRGIO TOLEDO,SÉRGIO TOLEDO DE ALBUQUERQUE,1a ELEIÇÃO,MASCULINO,BRANCA,1458222.6800000004,98201,4,9,1,1,ELEITO POR QP
MDB,MA,JOÃO MARCELO,JOÃO MARCELO SANTOS SOUZA,REELEITO,MASCULINO,BRANCA,1502500.0,67352,18,18,1,1,ELEITO POR MÉDIA
PSD,BA,JOSÉ NUNES,JOSE NUNES SOARES,REELEITO,MASCULINO,BRANCA,1244167.53,99535,24,39,1,1,ELEITO POR QP
PT,BA,JORGE SOLLA,JORGE JOSÉ SANTOS PEREIRA SOLLA,REELEITO,MASCULINO,PARDA,1193416.75,135657,5,39,1,1,ELEITO POR QP
PSL,RS,NEREU CRISPIN,NEREU CRISPIM,1a ELEIÇÃO,MASCULINO,BRANCA,38108.36,32200,46,31,1,0,ELEITO POR MÉDIA
NOVO,RJ,PAULO GANIME,PAULO GUSTAVO GANIME ALVES TEIXEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,298835.2599999999,52983,26,46,1,1,ELEITO POR QP
Podemos,SP,RENATA ABREU,RENATA HELLMEISTER DE ABREU,REELEITO,FEMININO,BRANCA,2270038.6500000004,161239,14,70,1,1,ELEITO POR QP
PSL,RJ,DELEGADO ANTÔNIO FURTADO,ANTÔNIO DA LUZ FURTADO,1a ELEIÇÃO,MASCULINO,PARDA,77940.3,104211,10,46,1,1,ELEITO POR QP
Podemos,DF,PROFESSOR PACCO,MARCOS PACCO RIBEIRO COELHO,1a ELEIÇÃO,MASCULINO,PARDA,1052310.97,39300,8,8,0,1,SUPLENTE
PRP,GO,ALCIDES RODRIGUES,ALCIDES RODRIGUES FILHO,1a ELEIÇÃO,MASCULINO,BRANCA,758847.33,64941,17,17,1,1,ELEITO POR MÉDIA
Republicanos,SP,CELSO RUSSOMANNO,CELSO UBIRAJARA RUSSOMANNO,REELEITO,MASCULINO,BRANCA,2157533.84,521728,3,70,1,1,ELEITO POR QP
PSL,PB,JULIAN LEMOS,GULLIEM CHARLES BEZERRA LEMOS,1a ELEIÇÃO,MASCULINO,PARDA,368948.0,71899,10,12,1,1,ELEITO POR QP
