SG_PARTIDO,SG_UF,NM_URNA_CANDIDATO,NM_CANDIDATO,ELEITO_ANTERIOR,DS_GENERO,DS_COR_RACA,receita_total,QT_VOTOS_NOMINAIS,POSICAO,QT_VAGAS,ELEITO_REAL,ELEITO_DISTRITAO,DS_SIT_TOT_TURNO
PT,BA,JOSEILDO RAMOS,JOSEILDO RIBEIRO RAMOS,1a ELEIÇÃO,MASCULINO,PARDA,746343.75,73934,34,39,0,1,SUPLENTE
MDB,SP,BALEIA ROSSI,LUIZ FELIPE BALEIA TENUTO ROSSI,REELEITO,MASCULINO,BRANCA,1602000.0,214042,11,70,1,1,ELEITO POR QP
PSB,SC,RODRIGO COELHO,RODRIGO COELHO,1a ELEIÇÃO,MASCULINO,BRANCA,816258.64,43314,28,16,1,0,ELEITO POR QP
PDT,RS,AFONSO MOTTA,AFONSO ANTUNES DA MOTTA,REELEITO,MASCULINO,BRANCA,1598351.3,65712,30,31,1,1,ELEITO POR MÉDIA
DEM,PR,PEDRO LUPION,PEDRO DEBONI LUPION MELLO,1a ELEIÇÃO,MASCULINO,BRANCA,1036439.73,92300,17,30,1,1,ELEITO POR QP
NOVO,RS,MARCEL VAN HATTEM,MARCEL VAN HATTEM,1a ELEIÇÃO,MASCULINO,BRANCA,824605.6399999999,349855,1,31,1,1,ELEITO POR QP
PL,RJ,MARCÃO GOMES,MARCUS WELBER GOMES DA SILVA,1a ELEIÇÃO,MASCULINO,BRANCA,1570755.0,40901,40,46,0,1,SUPLENTE
DEM,BA,ELMAR,ELMAR JOSÉ VIEIRA NASCIMENTO,REELEITO,MASCULINO,BRANCA,1344750.0,103823,20,39,1,1,ELEITO POR QP
MDB,PA,ELCIONE,ELCIONE THEREZINHA ZAHLUTH BARBALHO,REELEITO,FEMININO,BRANCA,2074730.0,165202,3,17,1,1,ELEITO POR QP
PT,RS,BOHN GASS,ELVINO JOSÉ BOHN GASS,REELEITO,MASCULINO,BRANCA,1132680.1,102964,12,31,1,1,ELEITO POR QP
PDT,MA,GIL CUTRIM,GILLIANO FRED NASCIMENTO CUTRIM,1a ELEIÇÃO,MASCULINO,BRANCA,244084.82,72038,17,18,1,1,ELEITO POR MÉDIA
MDB,PR,HERMES FRANGÃO PARCIANELLO,HERMES PARCIANELLO,REELEITO,MASCULINO,BRANCA,1610965.2,110717,10,30,1,1,ELEITO POR QP
Podemos,GO,JOSÉ  NELTO,JOSÉ NELTO LAGARES DAS MERCEZ,1a ELEIÇÃO,MASCULINO,BRANCA,2394186.69,61809,18,17,1,0,ELEITO POR MÉDIA
Republicanos,MA,CLEBER VERDE,CLEBER VERDE CORDEIRO MENDES,REELEITO,MASCULINO,BRANCA,1092900.0,101806,10,18,1,1,ELEITO POR QP
PSD,PA,DELEGADO ÉDER MAURO,ÉDER MAURO CARDOSO BARRA,REELEITO,MASCULINO,PARDA,941876.87,145653,9,17,1,1,ELEITO POR QP
PT,MG,PADRE JOÃO,JOÃO CARLOS SIQUEIRA,REELEITO,MASCULINO,BRANCA,1026981.97,131228,10,53,1,1,ELEITO POR QP
PTB,CE,PEDRO BEZERRA,PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,1a ELEIÇÃO,MASCULINO,BRANCA,733717.55,119030,10,22,1,1,ELEITO POR QP
PSB,RS,LIZIANE BAYER,LIZIANE BAYER DA COSTA,1a ELEIÇÃO,FEMININO,BRANCA,525472.85,52977,33,31,1,0,ELEITO POR QP
PSL,MG,DELEGADO MARCELO FREITAS,MARCELO EDUARDO FREITAS,1a ELEIÇÃO,MASCULINO,BRANCA,364411.63,58176,53,53,1,1,ELEITO POR QP
PSD,MA,EDILAZIO,EDILAZIO GOMES DA SILVA JUNIOR,1a ELEIÇÃO,MASCULINO,PARDA,953247.0,106578,7,18,1,1,ELEITO POR QP
PSL,RJ,CARLOS JORDY,CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,1a ELEIÇÃO,MASCULINO,PARDA,59150.08,204048,4,46,1,1,ELEITO POR QP
PSD,PR,VERMELHO,NELSI COGUETTO MARIA,1a ELEIÇÃO,MASCULINO,BRANCA,1773807.92,70001,28,30,1,1,ELEITO POR MÉDIA
MDB,RJ,GUTEMBERG REIS,GUTEMBERG REIS DE OLIVEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,806794.79,54573,25,46,1,1,ELEITO POR QP
PSC,GO,GLAUSTIN DA FOKUS,GLAUSKSTON BATISTA RIOS,1a ELEIÇÃO,MASCULINO,BRANCA,2013728.33,100437,6,17,1,1,ELEITO POR QP
PSDB,MG,AÉCIO NEVES,AÉCIO NEVES DA CUNHA,1a ELEIÇÃO,MASCULINO,BRANCA,2488921.01,106702,19,53,1,1,ELEITO POR QP
MDB,SC,VALDIR COLATTO,VALDIR COLATTO,REELEITO,MASCULINO,BRANCA,1543410.6700000004,71473,14,16,0,1,SUPLENTE
PSD,SP,CEZINHA DE MADUREIRA,ANTONIO CEZAR CORREIA FREIRE,1a ELEIÇÃO,MASCULINO,BRANCA,1063247.69,119024,31,70,1,1,ELEITO POR QP
Progressistas,BA,RONALDO CARLETTO,RONALDO CARLETTO,REELEITO,MASCULINO,BRANCA,1641584.8,118097,12,39,1,1,ELEITO POR QP
