ANO_ELEICAO,SG_UE,SQ_CANDIDATO,NR_TURNO,QT_VOTOS_NOMINAIS
2018,GO,90000615995,1,169774
2018,GO,90000615996,1,36655
2018,GO,90000615997,1,3386
2018,GO,90000615998,1,100437
2018,GO,90000615999,1,1991
2018,GO,90000616000,1,96188
2018,GO,90000616001,1,61809
2018,GO,90000616002,1,1269
2018,GO,90000616003,1,38880
2018,GO,90000616004,1,1439
2018,GO,90000616005,1,400
2018,GO,90000616006,1,2884
2018,GO,90000616007,1,33554
2018,GO,90000616008,1,14171
2018,GO,90000616009,1,563
2018,GO,90000616010,1,10764
2018,GO,90000616011,1,151508
2018,GO,90000616485,1,569
2018,GO,90000616486,1,19796
2018,GO,90000616487,1,31190
2018,GO,90000616488,1,2233
2018,GO,90000616489,1,2905
2018,GO,90000616490,1,451
2018,GO,90000616491,1,2496
2018,GO,90000616492,1,274406
2018,GO,90000616493,1,2436
2018,GO,90000616494,1,1259
2018,GO,90000616495,1,390
2018,GO,90000616497,1,471
2018,GO,90000616498,1,1217
2018,GO,90000616499,1,509
2018,GO,90000616500,1,745
2018,GO,90000616501,1,289
2018,GO,90000616502,1,282
2018,GO,90000616503,1,7544
2018,GO,90000616504,1,4184
2018,GO,90000616505,1,319
2018,GO,90000616506,1,1387
2018,GO,90000616694,1,1237
2018,GO,90000616695,1,2317
2018,GO,90000616696,1,223
2018,GO,90000616697,1,429
2018,GO,90000616698,1,11830
2018,GO,90000616699,1,0
2018,GO,90000616700,1,211
2018,GO,90000616701,1,14991
2018,GO,90000616702,1,13766
2018,GO,90000616703,1,85
2018,GO,90000616704,1,471
2018,GO,90000616705,1,8414
2018,GO,90000616706,1,761
2018,GO,90000616707,1,2807
2018,GO,90000616708,1,26252
2018,GO,90000616709,1,1727
2018,GO,90000616710,1,4178
2018,GO,90000616711,1,371
2018,GO,90000616712,1,566
2018,GO,90000616713,1,16957
2018,GO,90000616715,1,411
2018,GO,90000616716,1,612
2018,GO,90000616717,1,302
2018,GO,90000616718,1,289
2018,GO,90000616719,1,2460
2018,GO,90000616720,1,3722
2018,GO,90000616721,1,692
2018,GO,90000616722,1,1031
2018,GO,90000616723,1,2285
2018,GO,90000616724,1,8003
2018,GO,90000616725,1,0
2018,GO,90000616726,1,910
2018,GO,90000616727,1,665
2018,GO,90000616729,1,1039
2018,GO,90000616730,1,0
2018,GO,90000616731,1,160
2018,GO,90000616732,1,1246
2018,GO,90000616733,1,6195
2018,GO,90000616734,1,459
2018,GO,90000616735,1,1099
2018,GO,90000616736,1,307
2018,GO,90000616737,1,1110
2018,GO,90000616738,1,1146
2018,GO,90000616739,1,151
2018,GO,90000616740,1,398
2018,GO,90000616741,1,493
2018,GO,90000616742,1,667
2018,GO,90000616743,1,1856
2018,GO,90000616744,1,11120
2018,GO,90000616745,1,397
2018,GO,90000616746,1,2712
2018,GO,90000616747,1,398
2018,GO,90000616748,1,563
2018,GO,90000616749,1,1781
2018,GO,90000616750,1,66
2018,GO,90000616751,1,131
2018,GO,90000616752,1,6568
2018,GO,90000618323,1,990
2018,GO,90000618324,1,2708
2018,GO,90000618325,1,394
2018,GO,90000618326,1,243
2018,GO,90000618327,1,208
2018,GO,90000618328,1,1004
2018,GO,90000618330,1,898
2018,GO,90000618331,1,8641
2018,GO,90000618332,1,674
2018,GO,90000618334,1,5272
2018,GO,90000618335,1,7181
2018,GO,90000618336,1,486
2018,GO,90000618337,1,1323
2018,GO,90000618338,1,351
2018,GO,90000618339,1,99
2018,GO,90000618340,1,127
2018,GO,90000618341,1,292
2018,GO,90000618342,1,187
2018,GO,90000618343,1,40
2018,GO,90000618344,1,864
2018,GO,90000618345,1,574
2018,GO,90000618346,1,28
2018,GO,90000618347,1,1675
2018,GO,90000618348,1,11616
2018,GO,90000618349,1,2896
2018,GO,90000618350,1,10140
2018,GO,90000618351,1,570
2018,GO,90000618352,1,2774
2018,GO,90000618353,1,580
2018,GO,90000618354,1,234
2018,GO,90000618356,1,120
2018,GO,90000618358,1,0
2018,GO,90000618360,1,884
2018,GO,90000618361,1,244
2018,GO,90000618362,1,33
2018,GO,90000618653,1,367
2018,GO,90000618654,1,0
2018,GO,90000618655,1,488
2018,GO,90000618657,1,6103
2018,GO,90000618658,1,40
2018,GO,90000618659,1,24922
2018,GO,90000618660,1,91
2018,GO,90000618661,1,210
2018,GO,90000618662,1,60
2018,GO,90000618663,1,10063
2018,GO,90000618664,1,635
2018,GO,90000618665,1,1403
2018,GO,90000618666,1,150
2018,GO,90000618667,1,213
2018,GO,90000618668,1,261
2018,GO,90000618669,1,7953
2018,GO,90000618670,1,606
2018,GO,90000618671,1,402
2018,GO,90000618672,1,118
2018,GO,90000618673,1,43
2018,GO,90000618674,1,486
2018,GO,90000618675,1,159
2018,GO,90000618676,1,32
2018,GO,90000618677,1,3213
2018,GO,90000618678,1,334
2018,GO,90000618679,1,731
2018,GO,90000618680,1,1222
